severity,perturbation,n,bertscore_mean,bertscore_sd,bleu_mean,bleu_sd
0,identical,200,0.9999999785423279,3.855439172058203e-07,100.00000000000004,0.0
1,synonym,200,0.9327692523598671,0.03884365707823439,87.71891475189497,4.255397901492044
2,scramble,200,0.28319977178965927,0.09879196780627095,9.611366452357798,4.310922778680425
3,number_swap,24,0.9724513168136278,0.016682286383292746,87.93875438297697,3.4994572529530483
4,antonym,184,0.9229530782803245,0.03926554312025957,87.51222116530901,4.479862731041888
5,negation,200,0.8803400459885597,0.05362509165779268,78.56669553090104,8.82402391493628
